North South University,561,23,0,1078,10440,273,1498,0,5695,461
University of Science and Technology Chittagong,259,0,131,1688,465,0,248,5,489,0
Independent University Bangladesh,157,265,0,495,4300,64,0,0,1516,93
Central Women's University,161,0,0,0,162,0,0,0,42,0
International University of Business Agriculture and Technology,140,0,0,289,2153,0,33,431,5397,0
International Islamic University Chittagong,1167,1121,865,0,2819,780,577,0,2261,0
Ahsanullah University of Science and Technology,0,0,101,0,1151,0,0,0,5817,0
American International University Bangladesh,222,43,0,3755,2880,89,0,0,2773,0
East West University,964,1239,0,386,5156,455,837,0,2892,768
University of Asia Pacific,217,0,0,0,782,309,1067,0,2476,0
The People's University of Bangladesh,318,74,0,127,121,75,0,0,277,0
Asian University of Bangladesh,3038,1373,139,37,2388,0,0,0,904,385
Dhaka International University,679,364,0,0,1419,1080,116,0,3495,0
Manarat International University,355,0,0,0,818,161,314,0,540,0
Brac University,513,2,175,465,2514,399,397,0,3488,350
Bangladesh University,518,377,0,65,1278,441,131,0,2535,193
Leading University,486,0,0,0,1748,355,0,132,1394,0
Begum Gulchemonara Trust University,321,0,0,353,2373,423,198,0,0,0
University of Development Alternative,709,133,0,0,1371,154,794,0,374,0
Premier University,1030,180,0,32,2941,1795,0,0,1532,180
South East University,856,0,0,2806,4575,1221,616,0,0,0
Stamford University Bangladesh,1037,0,0,0,2255,884,288,0,2786,0
Daffodil International University,1588,0,0,7542,2987,995,0,0,5329,0
