North South University,92744,12988.13,198.23,2158.65,0,188.5,622.71,661.02,0.95,1060.7
University of Science and Technology Chittagong,72343.1,1156.67,29.64,981.34,17.34,8.69,101.34,199.61,43.73,20.53
Independent University Bangladesh,172774,4043,504,6459,0,44,305,56,0,0
Central Women's University,103403,63.65,0,269.35,0,0.16,4.91,527.46,0,41.32
International University of Business Agriculture and Technology,79163,128.28,42.11,2754.92,0,74.19,61,176.26,690.85,434.63
International Islamic University Chittagong,85651,1797.23,99.97,5150.95,0,660.02,29.29,128.82,2.63,647.78
Ahsanullah University of Science and Technology,83634,163.78,48.1,4663.25,0,11.41,118.43,66.02,0.06,823.55
American International University Bangladesh,180554.8,3740.33,30.91,7038.31,84.59,273.29,278.77,7038.64,177.61,7937.2
East West University,87283,2058.68,166,6462.61,618.94,92.59,242.6,374.9,2.1,773.76
University of Asia Pacific,98149,1196.94,39.08,2988.27,0,8.41,93.72,159.68,4.3,671.4
The People's University of Bangladesh,17239,507.7,0,230.56,0,7.15,2.57,5.69,0,153.01
Asian University of Bangladesh,34605.31,281.73,32.6,774.96,4.5,9.53,23.16,379.13,4.68,1334.27
Dhaka International University,42495.37,582.21,20.74,1264.03,34.11,62.94,36.12,402.09,0.2,637.27
Manarat International University,65208,1633.45,31.41,1207.85,0,31.66,30.99,134.41,0,0
Brac University,149237,4826.62,3497.74,7049.37,13.87,203.6,299.54,662.7,16.71,1012.35
Bangladesh University,26749,154.15,42.72,1112.21,0,5.05,30.53,31.44,3.2,102.11
Leading University,71767.93,11.92,3.93,1349.54,0,30.23,225.49,797.78,0,5.07
Begum Gulchemonara Trust University,38164,189.58,2.58,923.01,1,298.99,11.83,16.2,2.62,179.54
University of Development Alternative,44930,627.87,62.23,714.27,6.35,20.37,15.23,45.37,3.02,155.18
Premier University,39112,349.28,3.59,2027.38,21.34,2.73,89.19,540.27,0.3,460.37
South East University,55069,2242.04,28.83,3934.04,0,20.04,115.74,101.08,0.12,30.89
Stamford University Bangladesh,109575,2203.71,220.43,4122.7,0,41.04,121.17,298.49,5.71,53998
Daffodil International University,79865,4193.05,396,7007,38.3,475.48,285.38,5704.36,1.18,0
